sample_id,concentration_Bq_m3,net_signal_counts,total_signal_counts,threshold_counts,detected,time_to_detection_s,localization_error_m,run_name
110,0.00013302433707017912,141.3865170312906,7156.992923010906,7270.1564059796165,False,,87.69617322557148,quick_check
111,0.00021818438751032806,213.10871218418913,7580.122281327907,7621.563569143718,False,,51.74450332742178,quick_check
112,0.00024081203272920048,298.7760548874067,7200.880770065683,7156.654715178276,True,377.7726259377346,34.02374169456631,quick_check
113,0.0002449583881027862,243.70550669558077,7520.977690852412,7531.822184156831,False,,101.44485033203496,quick_check
114,0.0001299030782734498,140.89168044621533,7246.064806082668,7359.723125636453,False,,40.78285878206183,quick_check
115,0.0005213107288919732,481.02983917080934,7701.7888227129515,7475.308983542142,True,388.47238479064185,11.700365417338755,quick_check
116,0.00032203982885795247,339.2211463901346,7412.943829842543,7328.272683452408,True,425.44820546577307,35.27920872389585,quick_check
117,0.00027326127394279527,268.17822553051263,7511.627070468095,7497.998844937582,True,311.48185589259043,12.722909464859692,quick_check
118,0.00021436560127039718,210.08879256038134,7255.087779994392,7299.548987434011,False,,27.484174533532382,quick_check
119,0.0004728392120141014,532.10975351587,7685.542073126464,7407.9823196105945,True,618.9677344249969,17.88737476678345,quick_check
120,0.000315001263846819,292.72581358662325,7475.553212184254,7437.377398597631,True,326.3873559245756,32.38468384136215,quick_check
121,0.0006059735340057381,561.4765914419929,7923.60072507525,7616.674133633257,True,317.5983779772772,75.91955882024251,quick_check
122,0.0003349246302281509,352.96512964456315,7695.726808454896,7597.311678810333,True,374.86010345364315,29.845308449183733,quick_check
123,0.0005179251669444053,576.327236989443,7998.023238210053,7676.24600122061,True,247.03114832102577,57.016192635230084,quick_check
124,0.0001337233101072765,128.93272725445354,7179.736892950727,7305.354165696274,False,,3.360710532294701,quick_check
125,0.0004498857398498525,442.62701597048414,7556.456604812477,7368.379588841993,True,422.80090667520017,59.17804844389286,quick_check
126,0.0005825478422697336,606.1519722187361,7754.364976038002,7402.7630038192665,True,268.07523451139605,14.40447956648154,quick_check
127,0.00033728353398272155,350.59354965462734,7559.663695653713,7463.620145999086,True,261.1443914276069,17.80983674210093,quick_check
128,9.878960986944893e-05,87.47892283546403,7315.451832531816,7482.522909696352,False,,32.552938489813286,quick_check
129,0.0007347839239057856,742.9423759958393,8012.814851132191,7524.422475136352,True,413.00150487190024,45.7631713572814,quick_check
130,0.00023584517131873002,234.97381720130295,7491.380901007829,7510.9570838065265,False,,3.496849102929396,quick_check
131,0.000535150285525415,691.2829266138529,7880.551475707982,7443.81854909413,True,295.87142251647197,80.33694239575051,quick_check
132,0.0005338746077625867,537.3900939656597,7852.855228893781,7570.015134928121,True,455.65727343250603,66.45005084015273,quick_check
133,0.0003765696445215913,315.05570969880495,7419.81793535239,7359.312225653585,True,272.0040613254006,9.763949577011358,quick_check
134,0.00044380575948937165,399.3926959628266,7551.857418173587,7407.01472221076,True,345.41007388363187,31.226033518561533,quick_check
135,0.0002733766712194203,250.24433336949707,7524.022923155296,7528.328589785799,False,,20.65189526782911,quick_check
136,0.0007909937221691089,715.2129775909675,7991.291219172794,7530.628241581826,True,357.51126114679954,70.73948838123273,quick_check
137,0.00035954586821251936,349.4786484397814,7671.930413421851,7577.001764982069,True,247.45800517646515,15.720849474294809,quick_check
138,0.00044907480569773,572.1837518216103,7884.045005269132,7566.4112534475225,True,333.67426333695084,8.118013404129243,quick_check
139,0.0003662726752023439,344.4271729570626,7552.144602210766,7462.267429253703,True,271.162130045702,30.094015476300157,quick_check
140,0.0004252853698677969,366.0027191314832,7597.988084080755,7486.535364949272,True,487.5106628371708,55.77162367087805,quick_check
141,0.000310671097415028,329.6923265406582,7441.94406515019,7366.801738609532,True,707.1608557026983,10.68179591145174,quick_check
142,0.0003134850969381346,259.8754604653137,7472.085106830453,7466.759646365139,True,290.76515748993086,27.436531989999253,quick_check
143,0.00024620589011021415,244.0859739348756,7630.0769170294125,7640.540943094537,False,,98.17863252043426,quick_check
144,0.00022971506436581852,240.15107623977528,7523.799836795058,7538.198760555282,False,,7.562363638341902,quick_check
145,0.001006235960253988,990.6372189343405,8106.925182443365,7370.837963509025,True,408.57651224223997,36.91456162169255,quick_check
146,0.0005236743896736155,492.59527906828254,7607.14214351331,7369.096864445028,True,300.0750951554579,34.54781959319922,quick_check
147,0.0001628676834850798,158.83481176234497,7472.863313729075,7568.578501966731,False,,39.06275542686787,quick_check
148,0.0005108578484842007,572.7808431830482,7866.281722598016,7548.050879414968,True,321.4730270832672,41.03175037410866,quick_check
149,0.0007511662915779121,744.5356812146437,7827.244169643065,7337.2584884284215,True,402.39523700442106,88.98135692825468,quick_check
150,0.0003055995262854733,246.41888862180232,7485.8625986286615,7493.993710006859,False,,30.295300647545453,quick_check
151,0.00025526496103199395,259.2993959489555,7410.732475050233,7405.983079101277,True,357.93597094238754,85.47614213917558,quick_check
152,0.0006141499354524425,534.9009038254576,7556.019716007406,7275.668812181949,True,276.9399172327634,19.658147010793726,quick_check
153,0.00020998246939351404,223.44578013289146,7472.693663019068,7503.797882886176,False,,51.92057403442943,quick_check
154,0.0001953148294336687,173.11910880815856,7560.674082516798,7642.10497370864,False,,26.277318031186216,quick_check
155,0.0004660738149495028,416.42090196484594,7792.358653846793,7630.487751881947,True,356.87451492282736,9.571227530840996,quick_check
156,0.0005216102178317352,531.590487806868,7783.683762096821,7506.643274289953,True,349.3318410080872,107.74140264193903,quick_check
157,0.000489104875448951,482.13474072699586,7753.584331965213,7525.999591238217,True,373.42424906884565,37.74383976063226,quick_check
158,0.0003457467993144706,296.8183062923853,7353.818972939813,7311.5506666474275,True,428.2316972883384,73.75018404959376,quick_check
159,0.0006098986665414989,626.4387949952128,7875.715714996458,7503.8269200012455,True,656.2053125316916,88.46881091061701,quick_check
160,0.00019119273505013214,201.34011145254738,7249.715060315461,7302.924948862914,False,,65.90889062945448,quick_check
161,0.0003136049274846133,315.5902912521008,7458.297277478339,7397.256986226239,True,346.15464037892565,78.06432840520336,quick_check
162,0.00013543462778429162,156.52232765873677,7401.427770195238,7499.455442536501,False,,22.005580425114303,quick_check
163,0.00024433746086110114,220.81959702723503,7369.212316420577,7402.942719393342,False,,7.368925827440002,quick_check
164,0.000203797918746652,191.59349281985624,7444.569912188252,7507.526419368396,False,,43.02451457012659,quick_check
165,0.00027918826058468115,276.25717832262075,7380.980696691218,7359.273518368598,True,323.7319261096819,73.67645796030762,quick_check
166,0.0005042721040140502,545.8149577938347,7790.108393935142,7498.843436141307,True,262.3666339639043,33.1804732299597,quick_check
167,0.0001635379935082976,155.64255899215524,7614.1174611212255,7713.02490212907,False,,29.289739401966134,quick_check
168,0.00023291830207026315,275.6756503575435,7636.540311787618,7615.414661430074,True,309.5041730315104,44.73386805931458,quick_check
169,0.00042166874612911177,394.76429210453426,7814.446345313921,7674.232053209386,True,498.8849963751527,32.18130159289586,quick_check
170,0.0007735890774261897,772.8862509888797,8162.586040481853,7644.249789492974,True,307.45687509656074,22.45373458556619,quick_check
171,0.0008714187928835469,918.5577201782554,8224.27837753512,7560.270657356864,True,307.64461005722234,80.62623215354482,quick_check
172,0.00044082649615734173,451.53351295341236,7613.427762872308,7416.444249918896,True,273.2104520118657,17.997806154220875,quick_check
173,0.0004696236245532557,456.9656203529362,7785.380896585102,7582.965276232167,True,381.97809689308747,32.597557058553335,quick_check
174,0.0006684068527243798,693.268947713071,7833.73635908709,7395.0174113740195,True,444.7026467095997,17.593207461478922,quick_check
175,0.0003844700702811696,324.26008326102124,7315.557505713435,7245.847422452413,True,371.4267393657318,63.44532595027164,quick_check
176,0.00011578399062586903,102.91747509930401,7210.330809092582,7361.963333993278,False,,54.104942218772266,quick_check
177,0.00025290247147038704,260.87395998676834,7408.425949101445,7402.101989114677,True,353.9282166279776,86.95365091849573,quick_check
178,0.000691019288958316,505.22966790104977,7762.992276502785,7512.3126086017355,True,324.1536367230732,33.644539055645126,quick_check
179,0.0002503798331886767,244.25042736261403,7498.817183343308,7509.1167559806945,False,,64.09874542593482,quick_check
180,0.00023589592581079634,246.03054599850196,7699.318238407316,7707.837692408814,False,,134.77956792450934,quick_check
181,0.00018786167228713319,182.198527693946,7421.647207051917,7493.998679357971,False,,95.98670148113314,quick_check
182,0.0002831386217589523,283.662052753882,7271.556556103241,7242.444503349359,True,284.2434362098928,18.693668999323407,quick_check
183,0.00013615983989666175,148.8492520823947,7239.543385699657,7345.244133617262,False,,40.18081562064242,quick_check
184,0.00025482433989856346,275.69425043888674,7737.54634475511,7716.402094316223,True,368.6227213104294,47.77636278972678,quick_check
185,0.0010278003998341878,957.6074533193688,8252.493014245443,7549.435560926075,True,732.8921114175498,89.41599663940093,quick_check
186,0.00035585403158546093,403.8190732716818,7591.531968601963,7442.262895330281,True,336.29590128919216,74.69592685095122,quick_check
