sample_id,concentration_Bq_m3,net_signal_counts,total_signal_counts,threshold_counts,detected,time_to_detection_s,localization_error_m,run_name
38,0.0003220960987824853,312.4214848396542,7364.470850542522,7306.599365702868,True,263.38541052307653,89.24949196128266,final
39,0.0005606330473987374,578.0934706258482,7739.795073785445,7416.251603159597,True,442.51785793331203,110.99807203334899,final
40,0.0004470882412622155,426.68229150881643,7748.216698726743,7576.084407217926,True,400.3871602499633,41.77189923002128,final
41,0.00015378196949821912,153.66768346816386,7319.109132958752,7419.991449490588,False,,50.749309924425326,final
42,0.00020568520126427114,196.1879725864609,7340.265012835015,7398.627040248554,False,,96.45429693181555,final
43,0.00015041852326700788,149.19605147151685,7427.522765408011,7532.8767139364945,False,,35.9303417333219,final
44,0.0004886729504196551,530.4147088200478,7773.553402563449,7497.688693743401,True,400.23899085227373,32.68024298863641,final
45,0.0009103184192193304,655.9590482464941,7954.110621651467,7552.701573404974,True,354.39951695461366,32.57977012379226,final
46,0.0002682766697986799,262.0777780297286,7610.052990652409,7602.525212622681,True,335.05630680162193,2.474938591129103,final
47,0.0005669452691314231,533.8872128265104,7553.264107619863,7273.926894793353,True,370.81145284171953,22.411178560618257,final
48,7.178600636416739e-05,72.08176756557272,7353.530555695532,7535.998788129959,False,,88.2049372442062,final
49,0.00011154502778225484,131.08439207136416,7177.513024434645,7300.978632363281,False,,69.28151474451532,final
50,0.0006227922958729682,613.7091203203952,8115.295324582516,7756.13620426212,True,249.3195536128355,11.432272174911368,final
51,0.00011253355223540546,110.47795530485288,7140.107243758489,7284.179288453636,False,,43.48561629524328,final
52,0.00038005503231094756,351.58336611982566,7391.187211714372,7294.1538455945465,True,290.91755683991073,33.49732259121225,final
53,0.0003881768071028935,404.3074558443139,7806.4988455816565,7656.741389737343,True,364.4991638762677,71.30014009438895,final
54,0.0006050636845415619,614.5929932953119,7749.114373918311,7389.071380622999,True,613.0020180906808,6.817636486682044,final
55,0.0003326086101320911,328.59298846133396,7543.752593747574,7469.70960528624,True,346.2192916693914,61.31566474552811,final
56,0.0004950466525028015,533.780947735569,7852.925515786514,7573.694568050945,True,507.1033461769608,21.480929013264017,final
57,0.00025935991851177523,248.00509794899384,7425.959554080726,7432.504456131732,False,,85.48008841799489,final
58,0.0002692563808048504,295.95067827459087,7486.716892744954,7445.316214470363,True,270.66531940504973,90.50245829452665,final
59,0.00037086450904103637,328.55272412480844,7150.8699962436485,7076.86727211884,True,347.0442327994379,32.64653103825969,final
60,0.00022257472320778352,197.2715488750635,7276.855795348806,7334.134246473743,False,,48.16334768583147,final
61,0.0001845596029131302,181.26468330107116,7297.988243273312,7371.273559972241,False,,20.501462726708347,final
62,0.0003113168903281905,308.8959334906729,7541.47647456157,7487.130541070897,True,234.6364469430499,72.88652077855889,final
63,0.0002251828014580897,246.10755956231614,7451.032627353195,7459.475067790879,False,,11.324569312545428,final
64,0.00013626397024581774,153.30152134806835,7231.442831409381,7332.691310061313,False,,78.47586223962696,final
65,0.00020509302719050836,191.17191070613907,7282.654350712504,7346.0324400063655,False,,76.02967801370441,final
66,0.00028747723683212874,276.7832022036192,7345.002544050155,7322.769341846536,True,270.5138175310644,12.96151187090788,final
67,0.0011951260020196704,1369.0189391769923,8430.571553400618,7316.102614223625,True,655.5666064910696,45.6477969041064,final
68,0.00027189439384686545,236.47317829458274,7519.718078232001,7537.794899937418,False,,62.90557747801725,final
69,0.00032882112435585073,331.8102027984137,7685.687114463395,7608.426911664981,True,293.7584002586313,43.90878210933389,final
70,0.0004613538686607471,496.2612445738,8011.845190872986,7770.1339462991855,True,390.85138340638747,29.274409598346782,final
71,0.0006155744122336257,554.5629215452216,7603.289645148359,7303.276723603138,True,250.28245362865871,61.58398284879676,final
72,0.0003555269257505942,367.94522577602004,7663.981672374116,7550.586446598096,True,331.400979022586,35.805430756674575,final
73,0.0003493074407471642,321.4725792504429,7381.793162422004,7314.870583171561,True,436.92261492848957,7.586062348211138,final
74,0.0002536877810414495,274.28416869198225,7685.2165824679305,7665.482413775949,True,597.3081730670579,62.505714055193806,final
75,0.0003747938429072365,308.71676165479585,7475.851511686719,7421.684750031924,True,389.83714057019523,19.211724009570794,final
76,0.00016534770127156565,149.74164964252296,7356.344922862351,7461.153273219828,False,,90.03130758198174,final
77,0.0001846249590207068,154.20799152144335,7314.112736270494,7414.45474474905,False,,32.06617583237564,final
78,0.00019517590903534465,185.61023911114023,7474.2468611014265,7543.186621990287,False,,21.489497665221613,final
79,0.0002575368120146465,271.3755309728896,7376.905767752703,7360.080236779813,True,407.86115252286356,60.70432236261193,final
80,0.00038993600236619585,436.2134576141927,7707.40277834788,7525.739320733687,True,537.4237623235606,24.32620210813112,final
81,0.0004176822980347338,403.93894877486986,7511.378425240628,7361.989476465758,True,393.0797049123038,70.55672442131264,final
82,0.00022194421247525423,207.74260157344148,7296.217151791144,7343.024550217702,False,,33.366380166558706,final
