scenario_id,detector_id,time_s,background_counts,threshold_3sigma_counts,threshold_5sigma_counts,threshold_crossing_3sigma,threshold_crossing_5sigma
S1,D007,840.0,7192.792388337039,7454.55,7624.25,False,False
S1,D007,900.0,7192.231315388834,7454.55,7624.25,False,False
S1,D007,960.0,7059.564411462858,7454.55,7624.25,False,False
S1,D007,1000.0,7179.503412047416,7454.55,7624.25,False,False
S1,D007,1020.0,7108.299039859167,7454.55,7624.25,False,False
S1,D007,1080.0,7188.421702430899,7454.55,7624.25,False,False
S1,D007,1140.0,7201.63307195543,7454.55,7624.25,False,False
S1,D007,1166.666667,7127.984747006219,7454.55,7624.25,False,False
S1,D007,1200.0,7124.115519283467,7454.55,7624.25,False,False
S1,D008,0.0,7164.665073743477,7454.55,7624.25,False,False
S1,D008,60.0,7116.751252865073,7454.55,7624.25,False,False
S1,D008,120.0,7393.47092729596,7454.55,7624.25,False,False
S1,D008,166.666667,7339.273721166061,7454.55,7624.25,False,False
S1,D008,180.0,6999.316504730786,7454.55,7624.25,False,False
S1,D008,240.0,7281.912650284085,7454.55,7624.25,False,False
S1,D008,250.0,7162.973883622724,7454.55,7624.25,False,False
S1,D008,300.0,7174.493258765699,7454.55,7624.25,False,False
S1,D008,333.333333,7222.81947272469,7454.55,7624.25,False,False
S1,D008,360.0,7069.889430926659,7454.55,7624.25,False,False
S1,D008,420.0,7080.111219419634,7454.55,7624.25,False,False
S1,D008,480.0,7132.704841288995,7454.55,7624.25,False,False
S1,D008,500.0,7121.747804000076,7454.55,7624.25,False,False
S1,D008,540.0,7043.378273991373,7454.55,7624.25,False,False
S1,D008,600.0,7283.045570925182,7454.55,7624.25,False,False
S1,D008,660.0,7189.141027817032,7454.55,7624.25,False,False
S1,D008,666.666667,7227.7477512169335,7454.55,7624.25,False,False
S1,D008,720.0,7297.03708828578,7454.55,7624.25,False,False
S1,D008,780.0,7218.759320551342,7454.55,7624.25,False,False
S1,D008,833.333333,7084.5118613889435,7454.55,7624.25,False,False
S1,D008,840.0,7146.949792055989,7454.55,7624.25,False,False
S1,D008,900.0,7304.625258790743,7454.55,7624.25,False,False
S1,D008,960.0,7194.907255731748,7454.55,7624.25,False,False
S1,D008,1000.0,7060.575483123533,7454.55,7624.25,False,False
S1,D008,1020.0,7099.672433646934,7454.55,7624.25,False,False
S1,D008,1080.0,7071.276202018424,7454.55,7624.25,False,False
S1,D008,1140.0,7234.626058770142,7454.55,7624.25,False,False
S1,D008,1166.666667,7115.291936983287,7454.55,7624.25,False,False
S1,D008,1200.0,7186.577717317214,7454.55,7624.25,False,False
S1,D009,0.0,7261.774839470065,7454.55,7624.25,False,False
S1,D009,60.0,7301.555120907626,7454.55,7624.25,False,False
S1,D009,120.0,7260.627648321899,7454.55,7624.25,False,False
S1,D009,166.666667,7193.914676786293,7454.55,7624.25,False,False
S1,D009,180.0,7257.9516443502225,7454.55,7624.25,False,False
S1,D009,240.0,7298.190650972483,7454.55,7624.25,False,False
S1,D009,250.0,7266.104517580058,7454.55,7624.25,False,False
S1,D009,300.0,7401.246424470314,7454.55,7624.25,False,False
S1,D009,333.333333,7167.316942315633,7454.55,7624.25,False,False
S1,D009,360.0,7188.03260328286,7454.55,7624.25,False,False
S1,D009,420.0,7280.1746697753115,7454.55,7624.25,False,False
S1,D009,480.0,7256.883182497617,7454.55,7624.25,False,False
