scenario_id,detector_id,time_s,n_sigma,threshold_counts,total_signal_counts,threshold_crossing
S1,D006,1200.0,3.0,7454.55,7200.0,False
S1,D006,0.0,5.0,7624.25,7200.0,False
S1,D006,60.0,5.0,7624.25,7200.0,False
S1,D006,120.0,5.0,7624.25,7200.0,False
S1,D006,166.666667,5.0,7624.25,7200.000000000002,False
S1,D006,180.0,5.0,7624.25,7200.000000000007,False
S1,D006,240.0,5.0,7624.25,7200.000000003294,False
S1,D006,250.0,5.0,7624.25,7200.000000008507,False
S1,D006,300.0,5.0,7624.25,7200.000000697277,False
S1,D006,333.333333,5.0,7624.25,7200.000009625607,False
S1,D006,360.0,5.0,7624.25,7200.000065655867,False
S1,D006,420.0,5.0,7624.25,7200.00275019463,False
S1,D006,480.0,5.0,7624.25,7200.051247748404,False
S1,D006,500.0,5.0,7624.25,7200.11348511506,False
S1,D006,540.0,5.0,7624.25,7200.424822605717,False
S1,D006,600.0,5.0,7624.25,7201.5666136898635,False
S1,D006,660.0,5.0,7624.25,7202.570026999504,False
S1,D006,666.666667,5.0,7624.25,7202.582909313448,False
S1,D006,720.0,5.0,7624.25,7201.875577110809,False
S1,D006,780.0,5.0,7624.25,7200.608910736745,False
S1,D006,833.333333,5.0,7624.25,7200.113485116479,False
S1,D006,840.0,5.0,7624.25,7200.087941487933,False
S1,D006,900.0,5.0,7624.25,7200.005650091182,False
S1,D006,960.0,5.0,7624.25,7200.0001614873745,False
S1,D006,1000.0,5.0,7624.25,7200.000009625607,False
S1,D006,1020.0,5.0,7624.25,7200.000002053256,False
S1,D006,1080.0,5.0,7624.25,7200.000000011613,False
S1,D006,1140.0,5.0,7624.25,7200.000000000029,False
S1,D006,1166.666667,5.0,7624.25,7200.000000000002,False
S1,D006,1200.0,5.0,7624.25,7200.0,False
S1,D007,0.0,3.0,7454.55,7200.0,False
S1,D007,60.0,3.0,7454.55,7200.0,False
S1,D007,120.0,3.0,7454.55,7200.0,False
S1,D007,166.666667,3.0,7454.55,7200.000000000002,False
S1,D007,180.0,3.0,7454.55,7200.000000000007,False
S1,D007,240.0,3.0,7454.55,7200.000000003294,False
S1,D007,250.0,3.0,7454.55,7200.000000008507,False
S1,D007,300.0,3.0,7454.55,7200.000000697277,False
S1,D007,333.333333,3.0,7454.55,7200.000009625607,False
S1,D007,360.0,3.0,7454.55,7200.000065655867,False
S1,D007,420.0,3.0,7454.55,7200.00275019463,False
S1,D007,480.0,3.0,7454.55,7200.051247748404,False
S1,D007,500.0,3.0,7454.55,7200.11348511506,False
S1,D007,540.0,3.0,7454.55,7200.424822605717,False
S1,D007,600.0,3.0,7454.55,7201.5666136898635,False
S1,D007,660.0,3.0,7454.55,7202.570026999504,False
S1,D007,666.666667,3.0,7454.55,7202.582909313448,False
S1,D007,720.0,3.0,7454.55,7201.875577110809,False
S1,D007,780.0,3.0,7454.55,7200.608910736745,False
S1,D007,833.333333,3.0,7454.55,7200.113485116479,False
S1,D007,840.0,3.0,7454.55,7200.087941487933,False
S1,D007,900.0,3.0,7454.55,7200.005650091182,False
S1,D007,960.0,3.0,7454.55,7200.0001614873745,False
S1,D007,1000.0,3.0,7454.55,7200.000009625607,False
S1,D007,1020.0,3.0,7454.55,7200.000002053256,False
S1,D007,1080.0,3.0,7454.55,7200.000000011613,False
S1,D007,1140.0,3.0,7454.55,7200.000000000029,False
S1,D007,1166.666667,3.0,7454.55,7200.000000000002,False
S1,D007,1200.0,3.0,7454.55,7200.0,False
S1,D007,0.0,5.0,7624.25,7200.0,False
S1,D007,60.0,5.0,7624.25,7200.0,False
S1,D007,120.0,5.0,7624.25,7200.0,False
S1,D007,166.666667,5.0,7624.25,7200.000000000002,False
S1,D007,180.0,5.0,7624.25,7200.000000000007,False
S1,D007,240.0,5.0,7624.25,7200.000000003294,False
S1,D007,250.0,5.0,7624.25,7200.000000008507,False
S1,D007,300.0,5.0,7624.25,7200.000000697277,False
S1,D007,333.333333,5.0,7624.25,7200.000009625607,False
S1,D007,360.0,5.0,7624.25,7200.000065655867,False
S1,D007,420.0,5.0,7624.25,7200.00275019463,False
S1,D007,480.0,5.0,7624.25,7200.051247748404,False
S1,D007,500.0,5.0,7624.25,7200.11348511506,False
S1,D007,540.0,5.0,7624.25,7200.424822605717,False
S1,D007,600.0,5.0,7624.25,7201.5666136898635,False
S1,D007,660.0,5.0,7624.25,7202.570026999504,False
S1,D007,666.666667,5.0,7624.25,7202.582909313448,False
S1,D007,720.0,5.0,7624.25,7201.875577110809,False
S1,D007,780.0,5.0,7624.25,7200.608910736745,False
S1,D007,833.333333,5.0,7624.25,7200.113485116479,False
S1,D007,840.0,5.0,7624.25,7200.087941487933,False
S1,D007,900.0,5.0,7624.25,7200.005650091182,False
S1,D007,960.0,5.0,7624.25,7200.0001614873745,False
S1,D007,1000.0,5.0,7624.25,7200.000009625607,False
S1,D007,1020.0,5.0,7624.25,7200.000002053256,False
S1,D007,1080.0,5.0,7624.25,7200.000000011613,False
S1,D007,1140.0,5.0,7624.25,7200.000000000029,False
S1,D007,1166.666667,5.0,7624.25,7200.000000000002,False
S1,D007,1200.0,5.0,7624.25,7200.0,False
S1,D008,0.0,3.0,7454.55,7200.0,False
S1,D008,60.0,3.0,7454.55,7200.0,False
S1,D008,120.0,3.0,7454.55,7200.0,False
S1,D008,166.666667,3.0,7454.55,7200.0,False
S1,D008,180.0,3.0,7454.55,7200.0,False
S1,D008,240.0,3.0,7454.55,7200.0,False
S1,D008,250.0,3.0,7454.55,7200.0,False
S1,D008,300.0,3.0,7454.55,7200.0,False
S1,D008,333.333333,3.0,7454.55,7200.0,False
S1,D008,360.0,3.0,7454.55,7200.0,False
S1,D008,420.0,3.0,7454.55,7200.0,False
S1,D008,480.0,3.0,7454.55,7200.000000000004,False
S1,D008,500.0,3.0,7454.55,7200.000000000034,False
S1,D008,540.0,3.0,7454.55,7200.000000002511,False
S1,D008,600.0,3.0,7454.55,7200.00000083352,False
S1,D008,660.0,3.0,7454.55,7200.000123088411,False
S1,D008,666.666667,3.0,7454.55,7200.000203955719,False
S1,D008,720.0,3.0,7454.55,7200.008086108608,False
S1,D008,780.0,3.0,7454.55,7200.236310732649,False
S1,D008,833.333333,3.0,7454.55,7202.404621020405,False
S1,D008,840.0,3.0,7454.55,7203.072195104252,False
S1,D008,900.0,3.0,7454.55,7217.7678798385405,False
S1,D008,960.0,3.0,7454.55,7245.713438957747,False
S1,D008,1000.0,3.0,7454.55,7254.728922848223,False
S1,D008,1020.0,3.0,7454.55,7252.320712426339,False
S1,D008,1080.0,3.0,7454.55,7226.639426662632,False
S1,D008,1140.0,3.0,7454.55,7206.033892493365,False
S1,D008,1166.666667,3.0,7454.55,7202.404621020405,False
S1,D008,1200.0,3.0,7454.55,7200.607983414463,False
S1,D008,0.0,5.0,7624.25,7200.0,False
S1,D008,60.0,5.0,7624.25,7200.0,False
S1,D008,120.0,5.0,7624.25,7200.0,False
S1,D008,166.666667,5.0,7624.25,7200.0,False
S1,D008,180.0,5.0,7624.25,7200.0,False
S1,D008,240.0,5.0,7624.25,7200.0,False
S1,D008,250.0,5.0,7624.25,7200.0,False
S1,D008,300.0,5.0,7624.25,7200.0,False
S1,D008,333.333333,5.0,7624.25,7200.0,False
S1,D008,360.0,5.0,7624.25,7200.0,False
S1,D008,420.0,5.0,7624.25,7200.0,False
S1,D008,480.0,5.0,7624.25,7200.000000000004,False
S1,D008,500.0,5.0,7624.25,7200.000000000034,False
S1,D008,540.0,5.0,7624.25,7200.000000002511,False
S1,D008,600.0,5.0,7624.25,7200.00000083352,False
S1,D008,660.0,5.0,7624.25,7200.000123088411,False
S1,D008,666.666667,5.0,7624.25,7200.000203955719,False
S1,D008,720.0,5.0,7624.25,7200.008086108608,False
S1,D008,780.0,5.0,7624.25,7200.236310732649,False
S1,D008,833.333333,5.0,7624.25,7202.404621020405,False
S1,D008,840.0,5.0,7624.25,7203.072195104252,False
S1,D008,900.0,5.0,7624.25,7217.7678798385405,False
S1,D008,960.0,5.0,7624.25,7245.713438957747,False
S1,D008,1000.0,5.0,7624.25,7254.728922848223,False
S1,D008,1020.0,5.0,7624.25,7252.320712426339,False
S1,D008,1080.0,5.0,7624.25,7226.639426662632,False
S1,D008,1140.0,5.0,7624.25,7206.033892493365,False
S1,D008,1166.666667,5.0,7624.25,7202.404621020405,False
S1,D008,1200.0,5.0,7624.25,7200.607983414463,False
S1,D009,0.0,3.0,7454.55,7200.0,False
S1,D009,60.0,3.0,7454.55,7200.0,False
S1,D009,120.0,3.0,7454.55,7200.0,False
S1,D009,166.666667,3.0,7454.55,7200.0,False
S1,D009,180.0,3.0,7454.55,7200.0,False
S1,D009,240.0,3.0,7454.55,7200.0,False
S1,D009,250.0,3.0,7454.55,7200.0,False
S1,D009,300.0,3.0,7454.55,7200.0,False
S1,D009,333.333333,3.0,7454.55,7200.0,False
S1,D009,360.0,3.0,7454.55,7200.0,False
S1,D009,420.0,3.0,7454.55,7200.0,False
S1,D009,480.0,3.0,7454.55,7200.0,False
S1,D009,500.0,3.0,7454.55,7200.0,False
S1,D009,540.0,3.0,7454.55,7200.000000000005,False
S1,D009,600.0,3.0,7454.55,7200.000000001417,False
S1,D009,660.0,3.0,7454.55,7200.000000209285,False
S1,D009,666.666667,3.0,7454.55,7200.000000346781,False
S1,D009,720.0,3.0,7454.55,7200.000013748633,False
S1,D009,780.0,3.0,7454.55,7200.000401793956,False
S1,D009,833.333333,3.0,7454.55,7200.004088524383,False
