source_id,scenario_id,weather_id,x_m,y_m,z_m,x_downwind_m,y_crosswind_m,concentration_bq_m3,classification,concentration_Bq_m3
SRC_001,S1,W1,200.0,-500.0,0.0,200.0,500.0,2.6638429579781535e-219,downwind,2.6638429579781535e-219
SRC_001,S1,W1,200.0,-400.0,0.0,200.0,400.0,1.9640477999517417e-141,downwind,1.9640477999517417e-141
SRC_001,S1,W1,200.0,-300.0,0.0,200.0,300.0,7.192414780965316e-81,downwind,7.192414780965316e-81
SRC_001,S1,W1,200.0,-200.0,0.0,200.0,200.0,1.3082074957083547e-37,downwind,1.3082074957083547e-37
SRC_001,S1,W1,200.0,-100.0,0.0,200.0,100.0,1.1818375328405728e-11,downwind,1.1818375328405728e-11
SRC_001,S1,W1,200.0,0.0,0.0,200.0,0.0,0.005302957662946124,downwind,0.005302957662946124
SRC_001,S1,W1,200.0,100.0,0.0,200.0,100.0,1.1818375328405728e-11,downwind,1.1818375328405728e-11
SRC_001,S1,W1,200.0,200.0,0.0,200.0,200.0,1.3082074957083547e-37,downwind,1.3082074957083547e-37
SRC_001,S1,W1,200.0,300.0,0.0,200.0,300.0,7.192414780965316e-81,downwind,7.192414780965316e-81
SRC_001,S1,W1,200.0,400.0,0.0,200.0,400.0,1.9640477999517417e-141,downwind,1.9640477999517417e-141
SRC_001,S1,W1,200.0,500.0,0.0,200.0,500.0,2.6638429579781535e-219,downwind,2.6638429579781535e-219
SRC_001,S1,W1,200.0,600.0,0.0,200.0,600.0,1.7945039547e-314,downwind,1.7945039547e-314
SRC_001,S1,W1,200.0,700.0,0.0,200.0,700.0,0.0,downwind,0.0
SRC_001,S1,W1,200.0,800.0,0.0,200.0,800.0,0.0,downwind,0.0
SRC_001,S1,W1,200.0,900.0,0.0,200.0,900.0,0.0,downwind,0.0
SRC_001,S1,W1,200.0,1000.0,0.0,200.0,1000.0,0.0,downwind,0.0
SRC_001,S1,W1,300.0,-1000.0,0.0,300.0,1000.0,0.0,downwind,0.0
SRC_001,S1,W1,300.0,-900.0,0.0,300.0,900.0,7.481004e-318,downwind,7.481004e-318
SRC_001,S1,W1,300.0,-800.0,0.0,300.0,800.0,7.677378632889489e-252,downwind,7.677378632889489e-252
SRC_001,S1,W1,300.0,-700.0,0.0,300.0,700.0,1.3503192037691474e-193,downwind,1.3503192037691474e-193
SRC_001,S1,W1,300.0,-600.0,0.0,300.0,600.0,4.070334777248925e-143,downwind,4.070334777248925e-143
SRC_001,S1,W1,300.0,-500.0,0.0,300.0,500.0,2.1027808786144943e-100,downwind,2.1027808786144943e-100
SRC_001,S1,W1,300.0,-400.0,0.0,300.0,400.0,1.8617789247902686e-65,downwind,1.8617789247902686e-65
SRC_001,S1,W1,300.0,-300.0,0.0,300.0,300.0,2.825090745968558e-38,downwind,2.825090745968558e-38
SRC_001,S1,W1,300.0,-200.0,0.0,300.0,200.0,7.346946838294581e-19,downwind,7.346946838294581e-19
SRC_001,S1,W1,300.0,-100.0,0.0,300.0,100.0,3.2745497591417755e-07,downwind,3.2745497591417755e-07
SRC_001,S1,W1,300.0,0.0,0.0,300.0,0.0,0.00250130408972043,downwind,0.00250130408972043
SRC_001,S1,W1,300.0,100.0,0.0,300.0,100.0,3.2745497591417755e-07,downwind,3.2745497591417755e-07
