candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description,relative_likelihood,normalized_likelihood
CS_00064,-350.0,-500.0,55.370686760853744,90.95521306754443,synthetic inverse modeling grid point,1.7836498759749718e-19,1.1764372769296543e-19
CS_00065,-350.0,-450.0,14.38415275716304,91.79562721933256,synthetic inverse modeling grid point,1.1716988229683399e-19,7.72814323731042e-20
CS_00066,-350.0,-400.0,4.791234693062374,92.1730397386186,synthetic inverse modeling grid point,9.70201421023001e-20,6.399132100954976e-20
CS_00067,-350.0,-350.0,2.0410806284827805,92.32310645265706,synthetic inverse modeling grid point,9.000680246936396e-20,5.93655509573167e-20
CS_00068,-350.0,-300.0,1.1110899666376308,92.32083945279923,synthetic inverse modeling grid point,9.010888301678157e-20,5.943287995660577e-20
CS_00069,-350.0,-250.0,0.7730912625603771,92.1458223973661,synthetic inverse modeling grid point,9.834948201919205e-20,6.486811025670366e-20
CS_00070,-350.0,-200.0,0.6888432165316355,91.64365310265738,synthetic inverse modeling grid point,1.2642028171750312e-19,8.338269409018592e-20
CS_00071,-350.0,-150.0,0.7909905373519683,90.26805901611513,synthetic inverse modeling grid point,2.5149144391386783e-19,1.6587555295145218e-19
CS_00072,-350.0,-100.0,1.196720257327035,85.8526271607304,synthetic inverse modeling grid point,2.2872943613480182e-18,1.5086247509926513e-18
CS_00073,-350.0,-50.0,2.536198157526085,68.4184274607753,synthetic inverse modeling grid point,1.3967234425770116e-14,9.212332226978881e-15
CS_00074,-350.0,0.0,5.150355509888026,33.68767491142293,synthetic inverse modeling grid point,4.861804761915533e-07,3.2066878326919994e-07
CS_00075,-350.0,50.0,2.2869133266676047,80.2005971824874,synthetic inverse modeling grid point,3.860510827979763e-17,2.5462670152926842e-17
CS_00076,-350.0,100.0,1.035642899259566,97.30164362641543,synthetic inverse modeling grid point,7.467921122715588e-21,4.925597174799036e-21
CS_00077,-350.0,150.0,0.6767598753536125,101.30414242061744,synthetic inverse modeling grid point,1.0094112766384034e-21,6.657747518646044e-22
CS_00078,-350.0,200.0,0.5873711409074373,102.50786186008526,synthetic inverse modeling grid point,5.529473702941683e-22,3.6470604873543717e-22
CS_00079,-350.0,250.0,0.6584317090040247,102.94031769455262,synthetic inverse modeling grid point,4.454276841085202e-22,2.9378957093542427e-22
CS_00080,-350.0,300.0,0.9459199383802589,103.09011202621103,synthetic inverse modeling grid point,4.1328513021061866e-22,2.7258939084932845e-22
CS_00081,-350.0,350.0,1.7376534305235989,103.09203626695326,synthetic inverse modeling grid point,4.128876913904156e-22,2.7232725316766586e-22
CS_00082,-350.0,400.0,4.080365996455393,102.96377300194962,synthetic inverse modeling grid point,4.402343746718015e-22,2.903642334326553e-22
CS_00083,-350.0,450.0,12.260509263847437,102.64065783091837,synthetic inverse modeling grid point,5.174251310214118e-22,3.412767384187797e-22
CS_00084,-350.0,500.0,47.285576716121476,101.91814677711177,synthetic inverse modeling grid point,7.425723947136277e-22,4.897765294225775e-22
CS_00085,-300.0,-500.0,72.16347597835978,90.68696566473712,synthetic inverse modeling grid point,2.0396647547381484e-19,1.3452963399568047e-19
CS_00086,-300.0,-450.0,16.949999704764103,91.72378999081938,synthetic inverse modeling grid point,1.2145495841133707e-19,8.01077288024002e-20
CS_00087,-300.0,-400.0,5.204106547241247,92.17173104238648,synthetic inverse modeling grid point,9.708364782466334e-20,6.403320731251357e-20
CS_00088,-300.0,-350.0,2.081399637040106,92.35279693039092,synthetic inverse modeling grid point,8.868049899063009e-20,5.849076444572564e-20
CS_00089,-300.0,-300.0,1.0831115443868171,92.37203759326187,synthetic inverse modeling grid point,8.783145379487663e-20,5.793076192979665e-20
CS_00090,-300.0,-250.0,0.7334032304971351,92.22289273247348,synthetic inverse modeling grid point,9.463166172104201e-20,6.241595726043322e-20
CS_00091,-300.0,-200.0,0.6473172361067168,91.76356567524383,synthetic inverse modeling grid point,1.1906334223354654e-19,7.85302967841781e-20
CS_00092,-300.0,-150.0,0.7492691549358506,90.47334323137089,synthetic inverse modeling grid point,2.2695842731096633e-19,1.4969437544798545e-19
CS_00093,-300.0,-100.0,1.1626059603457746,86.2301355937085,synthetic inverse modeling grid point,1.8938568307451267e-18,1.249126189431409e-18
CS_00094,-300.0,-50.0,2.5852250813766013,68.64359097399057,synthetic inverse modeling grid point,1.2480063259965294e-14,8.231442636373896e-15
CS_00095,-300.0,0.0,5.643920619019883,29.727848760631154,synthetic inverse modeling grid point,3.520974160871166e-06,2.322319705088283e-06
CS_00096,-300.0,50.0,2.3247416168891637,80.66281222294053,synthetic inverse modeling grid point,3.0639103531776476e-17,2.0208553265974412e-17
CS_00097,-300.0,100.0,1.0046380113794233,97.68408783707822,synthetic inverse modeling grid point,6.168122880091238e-21,4.068292652365735e-21
CS_00098,-300.0,150.0,0.640677257665759,101.49056784730726,synthetic inverse modeling grid point,9.195733680661016e-22,6.065205978126031e-22
CS_00099,-300.0,200.0,0.5517986273661323,102.61215590169837,synthetic inverse modeling grid point,5.248517306677084e-22,3.46175081295607e-22
CS_00100,-300.0,250.0,0.6245182241215713,103.00639910051403,synthetic inverse modeling grid point,4.309509185395262e-22,2.842411685868822e-22
CS_00101,-300.0,300.0,0.9219928357904084,103.1338442387995,synthetic inverse modeling grid point,4.043462787177711e-22,2.666936159829882e-22
CS_00102,-300.0,350.0,1.7718588918070628,103.11738439427572,synthetic inverse modeling grid point,4.0768774831577763e-22,2.6889754033370935e-22
CS_00103,-300.0,400.0,4.431994413256484,102.96264675633017,synthetic inverse modeling grid point,4.404823505036741e-22,2.905277902025808e-22
CS_00104,-300.0,450.0,14.449894755998065,102.57905888661884,synthetic inverse modeling grid point,5.336095076984133e-22,3.5195142535322523e-22
CS_00105,-300.0,500.0,61.66350554733009,101.68662844341077,synthetic inverse modeling grid point,8.337049260607722e-22,5.498845744272831e-22
CS_00106,-250.0,-500.0,97.60065985054227,90.31778645198742,synthetic inverse modeling grid point,2.453155278679522e-19,1.6180212018111566e-19
CS_00107,-250.0,-450.0,20.469326878104333,91.62472491585878,synthetic inverse modeling grid point,1.2762241464759465e-19,8.417558175823866e-20
CS_00108,-250.0,-400.0,5.7359297995733645,92.16221595437923,synthetic inverse modeling grid point,9.754662800223919e-20,6.433857393559144e-20
CS_00109,-250.0,-350.0,2.1375896085154276,92.37874748187556,synthetic inverse modeling grid point,8.753727790679405e-20,5.77367331098047e-20
CS_00110,-250.0,-300.0,1.057642178851942,92.4198763903918,synthetic inverse modeling grid point,8.575550494540867e-20,5.656153378451484e-20
CS_00111,-250.0,-250.0,0.694709839861926,92.29563370567882,synthetic inverse modeling grid point,9.125170013961589e-20,6.018664485302688e-20
CS_00112,-250.0,-200.0,0.6067514866873077,91.87626360541886,synthetic inverse modeling grid point,1.1253977042774037e-19,7.422756161487665e-20
CS_00113,-250.0,-150.0,0.7087962048707426,90.66028999857119,synthetic inverse modeling grid point,2.0670516980158925e-19,1.3633598744021424e-19
CS_00114,-250.0,-100.0,1.1320212426956242,86.54746458353017,synthetic inverse modeling grid point,1.6159950646616743e-18,1.065857632156176e-18
CS_00115,-250.0,-50.0,2.6558257309523197,68.66629160161426,synthetic inverse modeling grid point,1.2339211493601015e-14,8.138541405754435e-15
CS_00116,-250.0,0.0,6.2607980347439085,24.9935574423731,synthetic inverse modeling grid point,3.75578856703253e-05,2.477195627930107e-05
CS_00117,-250.0,50.0,2.382531823149961,80.92309264836601,synthetic inverse modeling grid point,2.6900284792413725e-17,1.774255038283279e-17
CS_00118,-250.0,100.0,0.9769988688503974,98.00394814896403,synthetic inverse modeling grid point,5.256494723946963e-21,3.467012457170172e-21
CS_00119,-250.0,150.0,0.6057558055097454,101.65817421338734,synthetic inverse modeling grid point,8.4565091893781965e-22,5.577637616600424e-22
CS_00120,-250.0,200.0,0.5170793742125942,102.70954913342862,synthetic inverse modeling grid point,4.999055542416761e-22,3.2972139704975335e-22
CS_00121,-250.0,250.0,0.5914706535899553,103.06862834110996,synthetic inverse modeling grid point,4.177485035165418e-22,2.7553328629017025e-22
CS_00122,-250.0,300.0,0.9002139949671619,103.1746773906167,synthetic inverse modeling grid point,3.961746147756178e-22,2.613038530000282e-22
CS_00123,-250.0,350.0,1.8195849692963215,103.13953434300767,synthetic inverse modeling grid point,4.0319752739028302e-22,2.659359370787466e-22
