run_name,sample_id,localization_error_m
final,860,37.75227552709509
final,861,54.65452166604007
final,862,9.210147740240515
final,863,64.59711396439309
final,864,171.8937574945403
final,865,56.36142580659852
final,866,10.392508882179047
final,867,12.234052285530161
final,868,112.05146106054187
final,869,43.36098908005723
final,870,71.30846469586356
final,871,11.297839639021918
final,872,7.479291861476977
final,873,13.367987374426999
final,874,27.602797924016667
final,875,111.84439654870584
final,876,38.007852009068884
final,877,53.0303510441358
final,878,17.35089961908254
final,879,26.789241422403816
final,880,39.973285199917534
final,881,46.25622695734928
final,882,27.41392985639985
final,883,78.5539413389736
final,884,47.04070294625624
final,885,62.65762265327628
final,886,47.28412713620277
final,887,65.67847362913282
final,888,101.61865191620586
final,889,78.34481196591686
final,890,72.81200810984619
final,891,96.1301287216016
final,892,15.714149305863824
final,893,36.192339198389604
final,894,54.847698224329264
final,895,33.68369454765028
final,896,22.281356819354475
final,897,49.580423881026476
final,898,11.050154384701495
final,899,19.886431516741624
final,900,35.317355814374956
final,901,33.23267557655193
final,902,62.33226045694627
final,903,8.094007705577877
final,904,48.835819033244405
final,905,37.73617279216532
final,906,73.83131336446775
final,907,36.46354740578412
final,908,62.43213423289758
final,909,52.94696984076054
final,910,3.4566894269869657
final,911,68.81470972774633
final,912,39.99732484910512
final,913,11.312846683677176
final,914,48.07431616498954
final,915,87.50429082021255
final,916,60.3488478720853
final,917,45.03144595394958
final,918,47.79391218814936
final,919,101.6589443927622
final,920,30.06170492292161
final,921,71.36500689566455
final,922,9.146055929324202
final,923,54.27914579270017
final,924,97.40487660041829
final,925,61.53955528800235
final,926,139.61020849121937
final,927,49.1940185412206
final,928,3.800905956841591
final,929,59.339301837503626
final,930,10.604625230603922
final,931,48.978843639706206
final,932,9.10551265670379
final,933,51.754413974189816
final,934,11.61504976263457
final,935,7.799111593361667
final,936,34.565592929915354
final,937,39.290385114451375
final,938,145.19188145917704
final,939,66.53133073296922
final,940,64.41689634779648
final,941,54.87556310255925
final,942,22.18174786519778
final,943,27.680460560346052
final,944,24.095478575964044
final,945,9.10676193477642
final,946,113.41730675873929
final,947,36.51332347249118
final,948,76.41143471665286
final,949,51.91980907203737
final,950,57.17913490883826
final,951,13.783725981332733
final,952,17.946443868457678
final,953,69.10300467220455
final,954,118.82906980821569
final,955,112.12696652895211
final,956,79.43699143672002
final,957,17.485268447493205
final,958,52.946557137372785
final,959,18.749796471861934
final,960,83.58761580117582
final,961,46.42038964169221
final,962,90.72986831434059
final,963,48.573398479298156
final,964,24.08212338750934
final,965,96.13921016056217
final,966,16.621850585373345
final,967,20.76818549956208
final,968,119.98354496402163
final,969,30.804498918254417
final,970,16.688214190999126
final,971,18.03070346231778
final,972,21.794946756214767
final,973,47.90976666130334
final,974,76.53418998269312
final,975,128.06079623829402
final,976,31.70380391741122
final,977,48.31503115973305
final,978,71.18721372490094
final,979,11.807809172348607
final,980,114.60433557237133
final,981,28.272895654118894
final,982,34.1583552158424
final,983,27.434684068084028
final,984,34.96505683572755
final,985,37.356972317439194
final,986,25.848125632564603
final,987,29.486299576019274
final,988,53.984573153606625
final,989,23.47169866278798
final,990,90.1490952156686
final,991,74.56864892252851
final,992,46.88816794046797
final,993,12.782854966057961
final,994,105.26012543207548
final,995,53.528193739110385
final,996,71.84354472492748
final,997,22.05651995829578
final,998,96.12901762680016
final,999,95.5952300870304
final,1000,24.282687683978047
final,1001,39.9746530559214
final,1002,54.954779959477776
final,1003,114.83741041350612
final,1004,26.983292514855354
final,1005,13.968682274864685
final,1006,30.00595325986234
final,1007,7.47103146667939
final,1008,34.16426857349823
final,1009,51.28721786019598
final,1010,93.82309676388618
final,1011,91.81304524254844
final,1012,46.8638201124339
final,1013,77.65235553565061
final,1014,38.66235555341417
final,1015,18.29603069977018
final,1016,66.07097596260225
final,1017,114.37894688279707
final,1018,80.28276841616831
final,1019,56.68801197898435
final,1020,3.949902501654308
final,1021,78.96033655515035
final,1022,70.71172128741316
final,1023,86.72597880414385
final,1024,57.122740662850916
final,1025,64.06119741823655
final,1026,83.5890488408979
final,1027,67.08401734337056
final,1028,34.95642303318591
final,1029,47.45512135532358
final,1030,68.66907601833391
final,1031,52.02064680620224
final,1032,24.642458083768958
final,1033,12.689296055332925
final,1034,32.122577301479964
final,1035,35.09677257101515
final,1036,83.51498882872029
final,1037,68.93017841509487
final,1038,48.25597210230336
final,1039,12.339814934166142
final,1040,16.707359641127685
final,1041,70.13421921344958
final,1042,32.52980915473598
final,1043,83.6349747305724
final,1044,110.76551340126147
final,1045,80.5359908535729
final,1046,25.94629681602732
final,1047,78.50258890727059
final,1048,16.542204057963705
final,1049,37.58637525853181
final,1050,81.28027062793484
final,1051,16.69044974848737
final,1052,56.90334485879137
final,1053,48.665398389045485
final,1054,57.112994193938135
final,1055,25.69051905713476
final,1056,9.377289143258565
final,1057,52.80589184528904
final,1058,85.84253748442983
final,1059,21.223672822543836
final,1060,16.00996068994091
final,1061,14.207899781774177
