candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description
CS_00101,-300.0,300.0,0.9219928357904084,103.1338442387995,synthetic inverse modeling grid point
CS_00102,-300.0,350.0,1.7718588918070628,103.11738439427572,synthetic inverse modeling grid point
CS_00103,-300.0,400.0,4.431994413256484,102.96264675633017,synthetic inverse modeling grid point
CS_00104,-300.0,450.0,14.449894755998065,102.57905888661884,synthetic inverse modeling grid point
CS_00105,-300.0,500.0,61.66350554733009,101.68662844341077,synthetic inverse modeling grid point
CS_00106,-250.0,-500.0,97.60065985054227,90.31778645198742,synthetic inverse modeling grid point
CS_00107,-250.0,-450.0,20.469326878104333,91.62472491585878,synthetic inverse modeling grid point
CS_00108,-250.0,-400.0,5.7359297995733645,92.16221595437923,synthetic inverse modeling grid point
CS_00109,-250.0,-350.0,2.1375896085154276,92.37874748187556,synthetic inverse modeling grid point
CS_00110,-250.0,-300.0,1.057642178851942,92.4198763903918,synthetic inverse modeling grid point
CS_00111,-250.0,-250.0,0.694709839861926,92.29563370567882,synthetic inverse modeling grid point
CS_00112,-250.0,-200.0,0.6067514866873077,91.87626360541886,synthetic inverse modeling grid point
CS_00113,-250.0,-150.0,0.7087962048707426,90.66028999857119,synthetic inverse modeling grid point
CS_00114,-250.0,-100.0,1.1320212426956242,86.54746458353017,synthetic inverse modeling grid point
CS_00115,-250.0,-50.0,2.6558257309523197,68.66629160161426,synthetic inverse modeling grid point
CS_00116,-250.0,0.0,6.2607980347439085,24.9935574423731,synthetic inverse modeling grid point
CS_00117,-250.0,50.0,2.382531823149961,80.92309264836601,synthetic inverse modeling grid point
CS_00118,-250.0,100.0,0.9769988688503974,98.00394814896403,synthetic inverse modeling grid point
CS_00119,-250.0,150.0,0.6057558055097454,101.65817421338734,synthetic inverse modeling grid point
CS_00120,-250.0,200.0,0.5170793742125942,102.70954913342862,synthetic inverse modeling grid point
CS_00121,-250.0,250.0,0.5914706535899553,103.06862834110996,synthetic inverse modeling grid point
CS_00122,-250.0,300.0,0.9002139949671619,103.1746773906167,synthetic inverse modeling grid point
CS_00123,-250.0,350.0,1.8195849692963215,103.13953434300767,synthetic inverse modeling grid point
CS_00124,-250.0,400.0,4.885019522652663,102.95450531854256,synthetic inverse modeling grid point
CS_00125,-250.0,450.0,17.45404260472974,102.49406592172701,synthetic inverse modeling grid point
CS_00126,-250.0,500.0,83.46862844105425,101.36726582005393,synthetic inverse modeling grid point
CS_00127,-200.0,-500.0,137.91425397795572,89.79736150730606,synthetic inverse modeling grid point
CS_00128,-200.0,-450.0,25.444862728893078,91.48786909061278,synthetic inverse modeling grid point
CS_00129,-200.0,-400.0,6.432621615328425,92.14244060635383,synthetic inverse modeling grid point
CS_00130,-200.0,-350.0,2.21399352100032,92.40067589656663,synthetic inverse modeling grid point
CS_00131,-200.0,-300.0,1.0350514812781535,92.46439645219712,synthetic inverse modeling grid point
CS_00132,-200.0,-250.0,0.6570414596288175,92.36423159626518,synthetic inverse modeling grid point
CS_00133,-200.0,-200.0,0.5671507413049055,91.98281413277425,synthetic inverse modeling grid point
CS_00134,-200.0,-150.0,0.6695567109562257,90.83208582460776,synthetic inverse modeling grid point
CS_00135,-200.0,-100.0,1.1052931877539676,86.80614471473189,synthetic inverse modeling grid point
CS_00136,-200.0,-50.0,2.7546963759503,68.41548423685911,synthetic inverse modeling grid point
CS_00137,-200.0,0.0,7.023594197983805,19.479734641837275,synthetic inverse modeling grid point
CS_00138,-200.0,50.0,2.466527984937607,80.91404446177,synthetic inverse modeling grid point
CS_00139,-200.0,100.0,0.9529727526345315,98.26341001912871,synthetic inverse modeling grid point
CS_00140,-200.0,150.0,0.5719632753498395,101.81033941162707,synthetic inverse modeling grid point
CS_00141,-200.0,200.0,0.48321105714611695,102.80118643054894,synthetic inverse modeling grid point
CS_00142,-200.0,250.0,0.5593124711564537,103.12722698618192,synthetic inverse modeling grid point
CS_00143,-200.0,300.0,0.8808965106408875,103.21266066947487,synthetic inverse modeling grid point
CS_00144,-200.0,350.0,1.884528355577439,103.15824856846473,synthetic inverse modeling grid point
CS_00145,-200.0,400.0,5.47860593630061,102.93759082119648,synthetic inverse modeling grid point
CS_00146,-200.0,450.0,21.7033652868047,102.3765571958505,synthetic inverse modeling grid point
CS_00147,-200.0,500.0,118.08249546818652,100.91558855656486,synthetic inverse modeling grid point
CS_00148,-150.0,-500.0,205.3117648671978,89.04224582404373,synthetic inverse modeling grid point
CS_00149,-150.0,-450.0,32.73560405581872,91.29673446503976,synthetic inverse modeling grid point
CS_00150,-150.0,-400.0,7.3643629152934444,92.10938436719191,synthetic inverse modeling grid point
CS_00151,-150.0,-350.0,2.316672632166163,92.41816643858009,synthetic inverse modeling grid point
CS_00152,-150.0,-300.0,1.0158162503920063,92.50563039818397,synthetic inverse modeling grid point
CS_00153,-150.0,-250.0,0.620434619915345,92.42876240476322,synthetic inverse modeling grid point
CS_00154,-150.0,-200.0,0.5285258893257299,92.0839411039445,synthetic inverse modeling grid point
CS_00155,-150.0,-150.0,0.6315481370363775,90.99170258921578,synthetic inverse modeling grid point
CS_00156,-150.0,-100.0,1.0828518939343075,87.00867659046052,synthetic inverse modeling grid point
CS_00157,-150.0,-50.0,2.8911348219482256,67.80121303373048,synthetic inverse modeling grid point
CS_00158,-150.0,0.0,7.937398866309383,13.454879207224549,synthetic inverse modeling grid point
CS_00159,-150.0,50.0,2.5854256819034758,80.55032690232365,synthetic inverse modeling grid point
CS_00160,-150.0,100.0,0.9328935655255819,98.46564763066031,synthetic inverse modeling grid point
CS_00161,-150.0,150.0,0.5392809754582948,101.9502117626906,synthetic inverse modeling grid point
CS_00162,-150.0,200.0,0.4501982058089375,102.88786542479423,synthetic inverse modeling grid point
CS_00163,-150.0,250.0,0.5280729400837068,103.18230065680054,synthetic inverse modeling grid point
CS_00164,-150.0,300.0,0.8644448026946767,103.24783015102209,synthetic inverse modeling grid point
CS_00165,-150.0,350.0,1.9718491961370777,103.17317405808066,synthetic inverse modeling grid point
CS_00166,-150.0,400.0,6.272633790491917,102.90931568314562,synthetic inverse modeling grid point
CS_00167,-150.0,450.0,27.93411204136494,102.21225786557196,synthetic inverse modeling grid point
CS_00168,-150.0,500.0,176.08497231252394,100.25703483540339,synthetic inverse modeling grid point
CS_00169,-100.0,-500.0,325.37379062262744,87.91026224990284,synthetic inverse modeling grid point
CS_00170,-100.0,-450.0,43.88412591705491,91.02463478847915,synthetic inverse modeling grid point
CS_00171,-100.0,-400.0,8.642273604932653,92.05849185923628,synthetic inverse modeling grid point
CS_00172,-100.0,-350.0,2.454297611674594,92.43059772052831,synthetic inverse modeling grid point
